episode,timestep,return,length,epsilon,loss,mean_q
353,107548,-135.0,135,0.05,0.1109885573387146,-50.04069137573242
354,107703,-155.0,155,0.05,0.037154898047447205,-50.76837158203125
355,107862,-159.0,159,0.05,0.07895247638225555,-47.654624938964844
356,108014,-152.0,152,0.05,0.40661314129829407,-47.50261306762695
357,108178,-164.0,164,0.05,0.11424730718135834,-46.430301666259766
358,108292,-114.0,114,0.05,0.08057978749275208,-48.77937316894531
359,108383,-91.0,91,0.05,0.1987507939338684,-48.112388610839844
360,108494,-111.0,111,0.05,0.348123162984848,-47.681884765625
361,108584,-90.0,90,0.05,0.11765497922897339,-49.99623107910156
362,108684,-100.0,100,0.05,0.061333946883678436,-49.128849029541016
363,108771,-87.0,87,0.05,0.080728679895401,-50.6475944519043
364,108883,-112.0,112,0.05,0.5073779225349426,-48.90339660644531
365,109004,-121.0,121,0.05,0.16697055101394653,-48.9315185546875
366,109118,-114.0,114,0.05,0.06431913375854492,-51.439414978027344
367,109276,-158.0,158,0.05,0.17583328485488892,-51.17439651489258
368,109383,-107.0,107,0.05,0.05891944468021393,-50.19281768798828
369,109533,-150.0,150,0.05,0.12155865132808685,-52.83782196044922
370,109696,-163.0,163,0.05,0.053223222494125366,-44.42544937133789
371,109805,-109.0,109,0.05,0.3438696265220642,-51.01953125
372,109922,-117.0,117,0.05,0.043788664042949677,-50.3310546875
373,110069,-147.0,147,0.05,0.19929321110248566,-51.228797912597656
374,110284,-215.0,215,0.05,0.1664711833000183,-53.4970703125
375,110401,-117.0,117,0.05,0.07016225159168243,-49.286041259765625
376,110497,-96.0,96,0.05,0.06249620392918587,-46.08711242675781
377,110646,-149.0,149,0.05,0.1432228982448578,-50.791603088378906
378,110807,-161.0,161,0.05,0.03440382704138756,-49.267616271972656
379,110951,-144.0,144,0.05,0.025381840765476227,-50.04999542236328
380,111037,-86.0,86,0.05,0.08834338188171387,-51.81415939331055
381,111142,-105.0,105,0.05,0.06780506670475006,-43.459861755371094
382,111243,-101.0,101,0.05,0.19355911016464233,-49.42027282714844
383,111444,-201.0,201,0.05,0.09223298728466034,-50.295196533203125
384,111596,-152.0,152,0.05,0.11781559884548187,-51.17217254638672
385,111749,-153.0,153,0.05,0.28230977058410645,-47.3212890625
386,111909,-160.0,160,0.05,0.2199227511882782,-51.03318786621094
387,112077,-168.0,168,0.05,0.07907073199748993,-53.75296401977539
388,112263,-186.0,186,0.05,0.03351309895515442,-51.616981506347656
389,112419,-156.0,156,0.05,0.216712087392807,-51.06476593017578
390,112588,-169.0,169,0.05,0.12351328879594803,-49.495933532714844
391,112734,-146.0,146,0.05,0.20035895705223083,-49.35507583618164
392,112821,-87.0,87,0.05,0.5829664468765259,-51.750282287597656
393,112991,-170.0,170,0.05,0.20088116824626923,-49.87014389038086
394,113139,-148.0,148,0.05,0.1884722262620926,-53.546287536621094
395,113293,-154.0,154,0.05,0.06089349463582039,-49.685943603515625
396,113445,-152.0,152,0.05,0.1055467501282692,-48.390167236328125
397,113609,-164.0,164,0.05,0.10527685284614563,-50.149105072021484
